Last: mdl.locTime.Y,Last: mdl.locTime.DOY,Last: mdl.locTime.H,Sum:  mdl.climate.microclim.Rain,Mean: mdl.climate.microclim.u,Mean: mdl.climate.microclim.TaC,Mean: mdl.climate.microclim.d,Mean: mdl.climate.microclim.SWDir,Mean: mdl.climate.microclim.SWDif,Mean: mdl.climate.microclim.LWDw,Max: mdl.forest.treeStand.canopy.LAI,Max: mdl.forest.treeStand.canopy.WAI,Mean: mdl.forest.soil.waterCycle.Stock_RootLayer,Mean: mdl.forest.LE,Mean: mdl.forest.Rnet,Mean: mdl.forest.H,Sum: mdl.forest.GPP,Sum: mdl.forest.NEE,Sum: mdl.forest.RAuto,Sum: mdl.forest.soil.carbonCycle.Rh,Sum: mdl.forest.treeStand.canopy.Assimilation,Sum: mdl.forest.treeStand.canopy.Respiration,Sum: mdl.forest.treeStand.canopy.Transpiration,Sum: mdl.forest.treeStand.canopy.Evaporation,Sum: mdl.forest.soil.surface.ETR,Last: mdl.forest.treeStand.Age    ,Last: mdl.forest.treeStand.density,Last: mdl.forest.treeStand.IStress   ,Last: mdl.forest.treeStand.DBHmean ,Last: mdl.forest.treeStand.HEIGHTmean,Last: mdl.forest.treeStand.BasalArea,Last: mdl.forest.treeStand.WDeadTrees,Last: mdl.forest.treeStand.LeafFall,Last: mdl.forest.treeStand.Wr,Last: mdl.forest.treeStand.WStem,Last: mdl.forest.treeStand.WBranch,Last: mdl.manager.harvest_WStem,Last: mdl.manager.harvest_WBranch,Last: mdl.manager.harvest_W   ,Last: mdl.manager.harvest_WStem   ,Last: mdl.manager.harvest_WBranch ,Last: mdl.manager.harvest_WTapRoots   ,Last: mdl.manager.NbCut_Trees ,Last: mdl.manager.harvest_DBHmean ,Last: mdl.manager.harvest_DBHquadratic ,Last: mdl.manager.harvest_DBHsd   ,Last: mdl.manager.harvest_HEIGHTmean  ,Last: mdl.manager.harvest_HEIGHTsd,Last: mdl.manager.harvest_basalArea   ,Last: mdl.manager.seedingYear  ,Last: mdl.manager.FirstThinning,Last: mdl.manager.lastThinningYear,Last: mdl.manager.clearcuts,Last: mdl.manager.thinnings,Last: mdl.manager.practicesType   ,Last: mdl.forest.underStorey.foliage.W,Last: mdl.forest.underStorey.perennial.W,Last: mdl.forest.underStorey.roots.W,Last: mdl.forest.soil.carbonCycle.HUM,Last: mdl.forest.soil.carbonCycle.BIO,Last: mdl.forest.soil.carbonCycle.DPM,Last: mdl.forest.soil.carbonCycle.RPM,Last: mdl.forest.soil.waterCycle.SOC
2006,365,23,1193.23,1.35018,11.3974,368.235,55.3616,77.0814,310.367,7.32801,0.372217,248.27,46.0408,63.3769,-1.33312,2234.11,773.787,1813.97,1193.92,2071.64,837.568,285.129,142.27,154.62,140,100,0.591693,61.7843,48.1664,32.767,1.79957,0,15.6329,44.0945,6.25202,13.444,1.72772,0,13.444,1.72772,None,7,58.4409,60.2511,14.6579,49.184,1.00427,0,1861,1,2006,None,1,0,0.00387611,0.0979636,0.0111278,6078.3,440.602,1621.17,6101.06,0.871716
2007,365,23,1162.18,1.32057,11.7194,321.696,52.699,78.0141,312.048,5.5395,0.270564,265.455,40.9247,61.3207,-0.735571,2241.33,1399.01,1392.19,2248.15,1912.9,566.365,206.384,126.317,178.115,141,100,0.504865,61.8242,48.2522,32.8185,0,0,15.3002,44.2293,6.2605,0,0,0,0,0,None,7,0,0,0,0,0,0,1861,1,2006,None,1,0,0.00217215,0.124703,0.00721909,6280.95,471.39,105.687,5865.79,0.942495
2008,365,23,966.017,1.25181,11.6768,369.979,55.6023,79.8644,309.264,5.54324,0.270623,264.279,40.7974,62.3541,4.32521,2169.78,326.651,1513.96,982.472,1894.76,612.466,228.29,98.7903,181.913,142,100,0.580009,61.794,48.3237,32.7938,0,0,14.9517,44.2536,6.24754,0,0,0,0,0,None,7,0,0,0,0,0,0,1861,1,2006,None,1,0,0.00594604,0.164603,0.00736603,6324.11,395.809,104.118,5653.21,0.929342
2009,365,23,1095.63,1.36752,12.5201,409.468,54.3322,78.146,314.408,5.53243,0.270623,260.853,43.4705,60.0387,0.566243,2150.56,437.538,1609.94,978.162,1855.94,685.688,238.407,114.466,191.237,143,100,0.616805,61.6581,48.3872,32.6542,0,0,14.5593,44.122,6.20072,0,0,0,0,0,None,7,0,0,0,0,0,0,1861,1,2006,None,1,0,0.00636557,0.193585,0.00744802,6362.42,339.876,100.07,5437.21,0.915362
2010,365,23,1489.21,1.44082,11.0259,336.531,51.7043,78.4185,310.144,5.49842,0.270373,263.455,40.5404,60.5169,-1.20534,2117.82,203.585,1438.45,882.947,1843.54,573.045,207.434,112.775,187.793,144,100,0.552693,61.6792,48.4665,32.6777,0,0,14.236,44.2098,6.20086,0,0,0,0,0,None,7,0,0,0,0,0,0,1861,1,2006,None,1,0,0.00512054,0.214337,0.00742452,6394.72,304.179,109.367,5281.68,0.906597
2011,365,23,1363.51,1.33664,11.5529,321.941,46.3595,77.3393,315.384,5.49716,0.270373,263.139,39.1792,57.3524,-2.20285,2092.14,278.793,1468.17,902.757,1778.68,548.998,193.17,118.128,178.715,145,100,0.521214,61.6389,48.5391,32.6358,0,0,13.8647,44.2088,6.18197,0,0,0,0,0,None,7,0,0,0,0,0,0,1861,1,2006,None,1,0,0.00390838,0.228018,0.00746224,6426.32,278.741,98.7432,5124.49,0.896119
2012,365,23,1343.66,1.28463,12.3176,362.072,49.6818,77.876,313.591,5.48281,0.270339,262.771,42.6702,57.5664,-1.76579,2317.81,64.2511,1490.43,891.634,1923.22,552.722,203.106,147.931,180.488,146,80,0.49826,60.1075,48.3433,24.5011,0,0,9.91397,33.2724,4.35705,11.1041,1.84229,0,11.1041,1.84229,None,4,68.1633,72.3312,24.1986,49.7495,1.16969,0,1861,1,2012,None,2,0,0.00649639,0.235408,0.00758179,6453.17,257.797,1072.23,5915.24,0.885118
2013,365,23,1511.5,1.4056,11.6449,308.7,44.6214,77.2421,316.334,4.02716,0.206669,265.421,37.2021,55.7258,-1.71981,2011.81,877.957,1193.41,1696.36,1571.45,399.211,147.141,107.736,207.74,147,80,0.507282,60.2852,48.4447,24.6387,0,0,9.7331,33.4999,4.38849,0,0,0,0,0,None,4,0,0,0,0,0,0,1861,1,2012,None,2,0,0.00577101,0.237475,0.00753431,6581.87,307.045,84.745,5614.05,0.944666
2014,365,23,1068.96,1.26669,11.7726,359.801,51.1422,78.1818,314.311,4.04948,0.208051,264.307,37.3906,61.1565,0.75195,2048.92,76.9125,1257.14,868.691,1675.22,460.661,170.94,92.1411,201.317,148,80,0.572737,60.5454,48.5513,24.845,0,0,9.61886,33.8213,4.43863,0,0,0,0,0,None,4,0,0,0,0,0,0,1861,1,2012,None,2,0,0.00665729,0.235418,0.00743787,6605.2,275.494,85.953,5333.45,0.92497
2015,365,23,1375.1,1.47114,12.1172,365.531,58.7568,80.4431,312.267,4.08527,0.210053,264.189,40.7815,66.3347,0.855979,2231.29,-72.0797,1303.9,855.31,1822.45,473.677,181.246,107.811,217.232,149,80,0.555338,60.9355,48.6701,25.1589,0,0,9.55711,34.2895,4.51839,0,0,0,0,0,None,4,0,0,0,0,0,0,1861,1,2012,None,2,0,0.00516476,0.241866,0.00715347,6624.39,251.599,83.0193,5068.34,0.905827
